,Parquet,HDF Fixed,HDF Table,HDF Select,CSV,Data
read,0.8042940359991917,51.4389650475714,15.938714392715026,29.69797554757159,9.749289089285282,Numeric
write,7.4322933748564015,14.186939559571849,29.69797554757159,29.69797554757159,64.90661923214273,Numeric
size,1013787103.0,2102251968.0,1801425351.0,1801425351.0,1801425351.0,Numeric
