DATE,recession,yield_curve,financial_conditions,leverage,sentiment
1987-06-30,0.0,0.6302432351286633,1.000499583089552,0.7352906713104159,0.29353585991649067
1987-07-31,0.0,0.5589221818699149,0.4914208311828744,0.7333047921010815,0.4801913235557532
1987-08-31,0.0,0.7015642883874114,0.4535379417291093,0.7441622623511107,0.5395816983500642
1987-09-30,0.0,0.9244425798210001,1.1304861616901738,0.7613865212220209,0.47170698429942237
1987-10-31,0.0,1.4860958742336439,2.053073472572679,0.7821234910561758,0.10688039627722809
1987-11-30,0.0,1.6109077174364532,1.9910420694169193,0.7906857240290849,-0.4191486376152387
1987-12-31,0.0,1.0759998179958408,1.6248213025661968,0.7908653512942507,-0.10522808513102454
1988-01-31,0.0,0.6034978401566324,0.9207699960577089,0.7847879621561371,0.23414548512217967
1988-02-29,0.0,0.5321767868978841,0.5743682698285508,0.7808361623224866,0.30202019917282025
1988-03-31,0.0,0.8352912632475649,0.5799263771615357,0.781125561805254,0.5565503768627235
1988-04-30,0.0,0.8442063949049082,0.7768442693298908,0.7879214600040314,0.26808284214750056
1988-05-31,0.0,0.6837340250727243,0.7516133873577886,0.7962342106642101,0.5735190553753838
1988-06-30,0.0,0.25580770552023396,0.7788773664859038,0.8037186800461236,0.5650347161190542
1988-07-31,0.0,0.15774125728945507,0.9708075886528172,0.8061037309558267,0.4547383057867631
1988-08-31,0.0,-0.0473067708294465,0.9526706068293929,0.798928619641699,0.7941118760399674
1988-09-30,0.0,-0.3415061155217836,0.7603600931081174,0.780846141614996,0.7856275367836365
1988-10-31,0.0,-0.6535357235288077,0.663605145719447,0.7671944694623858,0.5141286805810729
1988-11-30,0.0,-0.7159416451302126,0.6058447092511386,0.7626239534931639,0.4208009487614422
1988-12-31,0.0,-0.8853291466197399,0.6033581875495403,0.7725733081248543,0.32747321694181153
1989-01-31,0.0,-1.2865100712001996,0.6621424858949773,0.7872328888208955,0.8365335723216178
1989-02-28,0.0,-1.3132554661722302,0.9846150973958111,0.7997369423349456,0.6244250909133652
1989-03-31,0.0,-1.5093883626337883,1.492626107630626,0.8053053875550893,0.5310973590937333
1989-04-30,0.0,-1.295425202857543,1.3227820488132047,0.8005253064431738,0.29353585991649067
1989-05-31,0.0,-1.8570784972701868,0.8784698739340453,0.7900071321384581,0.22566114586585004
1989-06-30,0.0,-1.7144363907526898,0.7763908447843052,0.7768045281487627,0.2171768066095192
1989-07-31,0.0,-1.7679271806967511,0.6691193732576978,0.774299725728949,0.33595755619814116
1989-08-31,0.0,-1.4826429676617576,0.7033017333555546,0.7833808819123373,0.13233341404621818
1989-09-30,0.0,-1.455897572689727,0.9481071081770474,0.8042475825491121,0.6583624479386849
1989-10-31,0.0,-1.6787758641233157,0.8223183632726537,0.8127000433044197,0.49716000206841365
1989-11-30,0.0,-1.571794284235193,0.5039119460838456,0.7994076256821414,0.2426298243785105
1989-12-31,0.0,-1.455897572689727,0.4043486918321934,0.7529440397592225,0.20869246735318958
1990-01-31,0.0,-1.1884436229694206,0.47938314082748873,0.7109511768804332,0.4208009487614422
1990-02-28,0.0,-1.1527830963400465,0.43649795477403736,0.6859231112673145,0.12384907478988855
1990-03-31,0.0,-1.0547166481092676,0.4657072714686971,0.6865917238654321,0.2765671814038302
1990-04-30,0.0,-0.707026513472869,0.5335600607258463,0.698626750631549,0.49716000206841365
1990-05-31,0.0,-1.0458015164519237,0.3353404013137132,0.7022592131049044,0.2171768066095192
1990-06-30,0.0,-1.1884436229694206,0.10750188045606865,0.6832785987523717,0.02203700371392704
1990-07-31,0.0,-1.0190561214798932,0.23109663562375796,0.6507361258798119,0.013552664457597417
1990-08-31,0.0,-0.4752330903819368,0.5884244307417046,0.59639887816712,-0.9875993677893548
1990-09-30,0.0,-0.27910019392037877,0.8824775618530922,0.5462928504783365,-1.2930355810172391
1990-10-31,0.0,-0.40391203712318835,0.9792910156347413,0.4887921670402225,-2.0481417748306185
1990-11-30,0.0,-0.6624508551861512,0.978779084696177,0.39854942487936423,-1.869970650447686
1990-12-31,0.0,-0.27910019392037877,1.1131390161719632,0.30731873276009347,-1.9123923467293367
1991-01-31,0.0,-0.09188242911616429,0.9559908446309391,0.19974195951072365,-1.8020959363970455
1991-02-28,0.0,0.03292941408664549,0.4848388619727607,0.07763533636793239,-1.496659723169161
1991-03-31,0.0,0.32712875877898245,0.13823236336817696,-0.09257147666928951,-0.028869031824053107
1991-04-30,0.0,0.5143465235831969,0.030405081108271025,-0.23419759596011114,-0.5294450479475298
1991-05-31,0.0,0.5232616552405407,0.044197963253020243,-0.4021091717202129,-0.8263969219190834
1991-06-30,0.0,0.6837340250727243,0.02405713747007253,-0.5223197292862527,-0.5039920301785397
1991-07-31,0.0,0.6569886301006937,-0.23653033685744843,-0.6246773325533015,-0.4361173161278979
